Unnamed: 0,netParams.connParams.PYR->BC_AMPA.weight,netParams.connParams.PYR->OLM_AMPA.weight,netParams.connParams.PYR->PYR_AMPA.weight,PYR,BC,OLM
18,0.0005451428571428,3.6e-05,0.0001151428571428,3.74,19.0,2.71
19,0.0005451428571428,3.6e-05,0.0001434285714285,3.87,19.7,3.18
20,0.0005451428571428,3.6e-05,0.0001717142857142,3.86,21.9,3.01
21,0.0005451428571428,3.6e-05,0.0002,4.03,23.2,3.3
22,0.0005451428571428,0.0005451428571428,2.0000000000000003e-06,3.34,20.1,4.7
23,0.0005451428571428,0.0005451428571428,3.0285714285714288e-05,3.21,19.2,3.85
24,0.0005451428571428,0.0005451428571428,5.8571428571428575e-05,3.11,18.8,3.37
25,0.0005451428571428,0.0005451428571428,8.685714285714286e-05,3.18,18.3,3.92
26,0.0005451428571428,0.0005451428571428,0.0001151428571428,3.17,17.0,3.46
27,0.0005451428571428,0.0005451428571428,0.0001434285714285,3.33,18.3,3.54
28,0.0005451428571428,0.0005451428571428,0.0001717142857142,3.38,20.0,4.62
29,0.0005451428571428,0.0005451428571428,0.0002,3.31,17.7,3.52
30,0.0005451428571428,0.0010542857142857,2.0000000000000003e-06,2.77,15.8,4.64
31,0.0005451428571428,0.0010542857142857,3.0285714285714288e-05,2.8,15.8,4.71
32,0.0005451428571428,0.0010542857142857,5.8571428571428575e-05,2.69,15.0,4.52
33,0.0005451428571428,0.0010542857142857,8.685714285714286e-05,3.55,19.8,6.71
34,0.0005451428571428,0.0010542857142857,0.0001151428571428,2.9,16.0,4.46
35,0.0005451428571428,0.0010542857142857,0.0001434285714285,3.74,22.2,6.62
36,0.0005451428571428,0.0010542857142857,0.0001717142857142,3.1,17.9,5.21
37,0.0005451428571428,0.0010542857142857,0.0002,3.07,17.8,4.93
38,0.0005451428571428,0.0015634285714285,2.0000000000000003e-06,2.71,16.4,6.23
39,0.0005451428571428,0.0015634285714285,3.0285714285714288e-05,2.51,14.1,5.51
40,0.0005451428571428,0.0015634285714285,5.8571428571428575e-05,2.87,16.9,6.56
41,0.0005451428571428,0.0015634285714285,8.685714285714286e-05,2.41,14.7,4.84
42,0.0005451428571428,0.0015634285714285,0.0001151428571428,2.26,12.6,4.16
43,0.0005451428571428,0.0015634285714285,0.0001434285714285,2.34,12.9,4.29
44,0.0005451428571428,0.0015634285714285,0.0001717142857142,2.37,12.2,4.66
45,0.0005451428571428,0.0015634285714285,0.0002,2.49,13.1,4.89
46,0.0005451428571428,0.0020725714285714,2.0000000000000003e-06,2.58,15.6,7.11
47,0.0005451428571428,0.0020725714285714,3.0285714285714288e-05,2.47,14.9,6.32
48,0.0005451428571428,0.0020725714285714,5.8571428571428575e-05,2.39,13.9,6.22
49,0.0005451428571428,0.0020725714285714,8.685714285714286e-05,3.21,19.7,8.04
0,0.0005451428571428,0.0020725714285714,0.0001151428571428,2.62,15.4,6.3
1,0.0005451428571428,0.0020725714285714,0.0001434285714285,2.31,12.3,5.67
2,0.0005451428571428,0.0020725714285714,0.0001717142857142,2.2,12.2,5.3
3,0.0005451428571428,0.0020725714285714,0.0002,2.26,12.0,4.96
4,0.0005451428571428,0.0025817142857142,2.0000000000000003e-06,2.2,13.1,6.27
5,0.0005451428571428,0.0025817142857142,3.0285714285714288e-05,2.19,12.7,5.72
6,0.0005451428571428,0.0025817142857142,5.8571428571428575e-05,2.06,11.8,5.46
7,0.0005451428571428,0.0025817142857142,8.685714285714286e-05,3.2,19.1,8.61
8,0.0005451428571428,0.0025817142857142,0.0001151428571428,2.17,12.2,5.41
9,0.0005451428571428,0.0025817142857142,0.0001434285714285,2.25,13.1,6.26
10,0.0005451428571428,0.0025817142857142,0.0001717142857142,2.1,11.7,5.4
11,0.0005451428571428,0.0025817142857142,0.0002,2.28,12.9,6.24
12,0.0005451428571428,0.0030908571428571,2.0000000000000003e-06,2.09,12.4,6.09
13,0.0005451428571428,0.0030908571428571,3.0285714285714288e-05,2.23,13.2,6.67
14,0.0005451428571428,0.0030908571428571,5.8571428571428575e-05,2.26,13.1,6.87
15,0.0005451428571428,0.0030908571428571,8.685714285714286e-05,2.56,15.3,7.38
16,0.0005451428571428,0.0030908571428571,0.0001151428571428,2.4,14.9,6.91
17,0.0005451428571428,0.0030908571428571,0.0001434285714285,1.96,11.5,5.6
18,0.0005451428571428,0.0030908571428571,0.0001717142857142,1.99,11.8,5.79
19,0.0005451428571428,0.0030908571428571,0.0002,1.98,10.8,5.51
20,0.0005451428571428,0.0036,2.0000000000000003e-06,2.31,14.3,7.75
21,0.0005451428571428,0.0036,3.0285714285714288e-05,2.01,12.1,6.74
22,0.0005451428571428,0.0036,5.8571428571428575e-05,2.28,13.7,7.92
23,0.0005451428571428,0.0036,8.685714285714286e-05,1.92,11.2,6.58
24,0.0005451428571428,0.0036,0.0001151428571428,1.85,10.7,6.29
25,0.0005451428571428,0.0036,0.0001434285714285,1.86,11.0,6.66
26,0.0005451428571428,0.0036,0.0001717142857142,1.95,11.4,6.6
27,0.0005451428571428,0.0036,0.0002,2.47,13.9,8.64
28,0.0010542857142857,3.6e-05,2.0000000000000003e-06,3.63,21.3,2.58
29,0.0010542857142857,3.6e-05,3.0285714285714288e-05,3.62,21.4,2.53
30,0.0010542857142857,3.6e-05,5.8571428571428575e-05,3.7,21.5,2.48
31,0.0010542857142857,3.6e-05,8.685714285714286e-05,3.73,21.7,3.07
32,0.0010542857142857,3.6e-05,0.0001151428571428,3.77,20.1,3.04
33,0.0010542857142857,3.6e-05,0.0001434285714285,3.84,20.3,2.46
34,0.0010542857142857,3.6e-05,0.0001717142857142,3.98,21.5,2.9
35,0.0010542857142857,3.6e-05,0.0002,3.79,20.6,2.57
36,0.0010542857142857,0.0005451428571428,2.0000000000000003e-06,2.99,17.1,3.1
37,0.0010542857142857,0.0005451428571428,3.0285714285714288e-05,2.94,17.1,3.2
38,0.0010542857142857,0.0005451428571428,5.8571428571428575e-05,3.15,18.1,3.45
39,0.0010542857142857,0.0005451428571428,8.685714285714286e-05,3.15,18.3,3.17
40,0.0010542857142857,0.0005451428571428,0.0001151428571428,3.11,17.5,3.26
41,0.0010542857142857,0.0005451428571428,0.0001434285714285,3.09,17.5,3.45
42,0.0010542857142857,0.0005451428571428,0.0001717142857142,3.1,16.9,2.79
43,0.0010542857142857,0.0005451428571428,0.0002,3.12,18.0,3.42
44,0.0010542857142857,0.0010542857142857,2.0000000000000003e-06,2.56,14.7,3.86
45,0.0010542857142857,0.0010542857142857,3.0285714285714288e-05,2.74,16.6,4.96
46,0.0010542857142857,0.0010542857142857,5.8571428571428575e-05,2.6,14.5,3.6
47,0.0010542857142857,0.0010542857142857,8.685714285714286e-05,2.69,14.9,3.73
48,0.0010542857142857,0.0010542857142857,0.0001151428571428,2.61,15.4,4.02
49,0.0010542857142857,0.0010542857142857,0.0001434285714285,2.85,16.1,4.35
0,0.0010542857142857,0.0010542857142857,0.0001717142857142,2.77,15.6,4.28
1,0.0010542857142857,0.0010542857142857,0.0002,3.11,18.3,5.41
2,0.0010542857142857,0.0015634285714285,2.0000000000000003e-06,2.23,13.3,4.42
3,0.0010542857142857,0.0015634285714285,3.0285714285714288e-05,2.34,14.2,4.77
4,0.0010542857142857,0.0015634285714285,5.8571428571428575e-05,2.47,15.9,5.39
5,0.0010542857142857,0.0015634285714285,8.685714285714286e-05,2.38,13.8,4.8
6,0.0010542857142857,0.0015634285714285,0.0001151428571428,2.35,12.6,4.07
7,0.0010542857142857,0.0015634285714285,0.0001434285714285,2.25,12.7,4.08
8,0.0010542857142857,0.0015634285714285,0.0001717142857142,2.34,13.3,4.24
9,0.0010542857142857,0.0015634285714285,0.0002,2.35,12.8,4.12
10,0.0010542857142857,0.0020725714285714,2.0000000000000003e-06,2.21,13.5,5.59
11,0.0010542857142857,0.0020725714285714,3.0285714285714288e-05,2.17,13.0,5.11
12,0.0010542857142857,0.0020725714285714,5.8571428571428575e-05,2.26,14.2,5.48
13,0.0010542857142857,0.0020725714285714,8.685714285714286e-05,2.26,14.2,5.68
14,0.0010542857142857,0.0020725714285714,0.0001151428571428,2.32,14.4,5.34
15,0.0010542857142857,0.0020725714285714,0.0001434285714285,2.11,12.5,4.47
16,0.0010542857142857,0.0020725714285714,0.0001717142857142,2.16,12.3,4.88
17,0.0010542857142857,0.0020725714285714,0.0002,2.39,13.9,5.33
18,0.0010542857142857,0.0025817142857142,2.0000000000000003e-06,2.04,12.0,5.7
19,0.0010542857142857,0.0025817142857142,3.0285714285714288e-05,2.23,14.0,6.28
20,0.0010542857142857,0.0025817142857142,5.8571428571428575e-05,2.06,12.2,5.67
21,0.0010542857142857,0.0025817142857142,8.685714285714286e-05,2.01,11.6,5.4
22,0.0010542857142857,0.0025817142857142,0.0001151428571428,2.11,11.8,5.95
23,0.0010542857142857,0.0025817142857142,0.0001434285714285,1.9,11.2,4.67
24,0.0010542857142857,0.0025817142857142,0.0001717142857142,2.03,11.6,4.87
25,0.0010542857142857,0.0025817142857142,0.0002,2.09,11.6,5.42
26,0.0010542857142857,0.0030908571428571,2.0000000000000003e-06,1.85,10.8,5.57
27,0.0010542857142857,0.0030908571428571,3.0285714285714288e-05,1.93,11.5,5.5
28,0.0010542857142857,0.0030908571428571,5.8571428571428575e-05,2.43,14.4,7.22
29,0.0010542857142857,0.0030908571428571,8.685714285714286e-05,1.74,10.5,5.09
