,netParams.connParams.PYR->BC_AMPA.weight,netParams.connParams.PYR->OLM_AMPA.weight,netParams.connParams.PYR->PYR_AMPA.weight,PYR,BC,OLM
0,3.6e-05,3.6e-05,2.0000000000000003e-06,23.6,0,0
1,3.6e-05,3.6e-05,3.0285714285714288e-05,23.9,0,0
2,3.6e-05,3.6e-05,5.8571428571428575e-05,24,0,0
3,3.6e-05,3.6e-05,8.685714285714286e-05,24.1,0,0
4,3.6e-05,3.6e-05,0.0001151428571428,24.4,0,0
5,3.6e-05,3.6e-05,0.0001434285714285,24.5,0,0
6,3.6e-05,3.6e-05,0.0001717142857142,24.6,0,0
7,3.6e-05,3.6e-05,0.0002,24.9,0,0
8,3.6e-05,0.0005451428571428,2.0000000000000003e-06,23.6,0,0
