ray.tune.search.algo, save/restore
BasicVariantGenerator, ?
ax.AxSearch, ?
bayesopt.BayesOptSearch, ?
bohb.BOHB, ?
flaml.BlendSearch, ?
flaml.CFO, ?
dragonfly.DragonflySearch, ?
hebo.HEBOSearch, ?
hyperopt.HyperOptSearch, ?
nevergrad.NevergradSearch, ?
optuna.OptunaSearch, ?
sigopt.SigOptSearch, ?
skopt.SkOptSearch, ?
zoopt.ZooptSearch, ?
