Unnamed: 0,netParams.connParams.BC->BC_GABA.weight,netParams.connParams.BC->PYR_GABA.weight,netParams.connParams.OLM->PYR_GABA.weight,PYR,BC,OLM
26,0.0068142857142857,0.0010902857142857,0.4145142857142856,2.48,10.8,2.45
27,0.0068142857142857,0.0010902857142857,0.5163428571428571,2.95,13.0,3.17
28,0.0068142857142857,0.0010902857142857,0.6181714285714285,2.68,11.6,2.47
29,0.0068142857142857,0.0010902857142857,0.72,2.51,12.5,2.81
30,0.0068142857142857,0.0021085714285714,0.0072,3.61,17.0,3.6
31,0.0068142857142857,0.0021085714285714,0.1090285714285714,2.83,12.9,2.1
32,0.0068142857142857,0.0021085714285714,0.2108571428571428,2.59,11.8,2.46
33,0.0068142857142857,0.0021085714285714,0.3126857142857142,2.53,12.0,2.37
34,0.0068142857142857,0.0021085714285714,0.4145142857142856,2.51,11.4,2.17
35,0.0068142857142857,0.0021085714285714,0.5163428571428571,2.39,11.2,1.98
36,0.0068142857142857,0.0021085714285714,0.6181714285714285,2.28,11.3,2.05
37,0.0068142857142857,0.0021085714285714,0.72,2.24,10.1,2.11
38,0.0068142857142857,0.0031268571428571,0.0072,3.18,17.2,2.9
39,0.0068142857142857,0.0031268571428571,0.1090285714285714,2.69,14.7,2.0
40,0.0068142857142857,0.0031268571428571,0.2108571428571428,2.62,12.9,2.52
41,0.0068142857142857,0.0031268571428571,0.3126857142857142,2.51,12.2,1.96
42,0.0068142857142857,0.0031268571428571,0.4145142857142856,2.31,12.1,2.28
43,0.0068142857142857,0.0031268571428571,0.5163428571428571,2.1,10.2,1.94
44,0.0068142857142857,0.0031268571428571,0.6181714285714285,2.18,10.5,2.1
45,0.0068142857142857,0.0031268571428571,0.72,2.08,9.96,2.05
46,0.0068142857142857,0.0041451428571428,0.0072,2.98,16.4,2.59
47,0.0068142857142857,0.0041451428571428,0.1090285714285714,2.62,13.5,1.81
48,0.0068142857142857,0.0041451428571428,0.2108571428571428,2.48,12.8,2.04
49,0.0068142857142857,0.0041451428571428,0.3126857142857142,2.28,12.0,2.0
0,0.0068142857142857,0.0041451428571428,0.4145142857142856,2.54,13.1,2.19
1,0.0068142857142857,0.0041451428571428,0.5163428571428571,2.25,11.1,1.7
2,0.0068142857142857,0.0041451428571428,0.6181714285714285,2.16,11.9,1.85
3,0.0068142857142857,0.0041451428571428,0.72,2.03,9.93,1.92
4,0.0068142857142857,0.0051634285714285,0.0072,2.9,15.9,2.31
5,0.0068142857142857,0.0051634285714285,0.1090285714285714,2.39,11.9,2.15
6,0.0068142857142857,0.0051634285714285,0.2108571428571428,2.33,11.1,1.78
7,0.0068142857142857,0.0051634285714285,0.3126857142857142,2.31,11.8,1.77
8,0.0068142857142857,0.0051634285714285,0.4145142857142856,2.23,11.4,1.88
9,0.0068142857142857,0.0051634285714285,0.5163428571428571,2.0,9.71,1.83
10,0.0068142857142857,0.0051634285714285,0.6181714285714285,2.18,11.4,1.68
11,0.0068142857142857,0.0051634285714285,0.72,2.14,10.8,1.69
12,0.0068142857142857,0.0061817142857142,0.0072,2.7,14.6,2.31
13,0.0068142857142857,0.0061817142857142,0.1090285714285714,2.4,13.7,1.75
14,0.0068142857142857,0.0061817142857142,0.2108571428571428,2.09,10.4,1.77
15,0.0068142857142857,0.0061817142857142,0.3126857142857142,2.12,11.0,1.8
16,0.0068142857142857,0.0061817142857142,0.4145142857142856,2.11,11.1,1.71
17,0.0068142857142857,0.0061817142857142,0.5163428571428571,2.01,10.4,1.61
18,0.0068142857142857,0.0061817142857142,0.6181714285714285,1.98,10.7,1.74
19,0.0068142857142857,0.0061817142857142,0.72,1.98,10.9,1.67
20,0.0068142857142857,0.0072,0.0072,2.7,15.1,2.15
21,0.0068142857142857,0.0072,0.1090285714285714,2.33,12.9,1.83
22,0.0068142857142857,0.0072,0.2108571428571428,2.1,10.3,1.75
23,0.0068142857142857,0.0072,0.3126857142857142,2.01,10.9,1.94
24,0.0068142857142857,0.0072,0.4145142857142856,1.96,10.3,1.79
25,0.0068142857142857,0.0072,0.5163428571428571,1.94,10.4,1.67
26,0.0068142857142857,0.0072,0.6181714285714285,1.87,10.8,2.1
27,0.0068142857142857,0.0072,0.72,1.96,11.0,1.64
28,0.0131785714285714,7.2e-05,0.0072,8.41,27.2,8.37
29,0.0131785714285714,7.2e-05,0.1090285714285714,4.98,13.0,6.61
30,0.0131785714285714,7.2e-05,0.2108571428571428,4.77,10.9,6.86
31,0.0131785714285714,7.2e-05,0.3126857142857142,5.26,25.5,6.68
32,0.0131785714285714,7.2e-05,0.4145142857142856,4.84,19.4,6.06
33,0.0131785714285714,7.2e-05,0.5163428571428571,4.74,17.5,6.07
34,0.0131785714285714,7.2e-05,0.6181714285714285,4.69,14.3,6.25
35,0.0131785714285714,7.2e-05,0.72,4.49,13.7,5.92
36,0.0131785714285714,0.0010902857142857,0.0072,5.08,20.7,5.75
37,0.0131785714285714,0.0010902857142857,0.1090285714285714,3.51,13.6,4.32
38,0.0131785714285714,0.0010902857142857,0.2108571428571428,3.12,10.3,3.75
39,0.0131785714285714,0.0010902857142857,0.3126857142857142,3.12,12.0,3.1
40,0.0131785714285714,0.0010902857142857,0.4145142857142856,3.11,11.5,3.1
41,0.0131785714285714,0.0010902857142857,0.5163428571428571,3.18,11.9,3.4
42,0.0131785714285714,0.0010902857142857,0.6181714285714285,3.01,11.2,3.25
43,0.0131785714285714,0.0010902857142857,0.72,2.98,11.4,3.65
44,0.0131785714285714,0.0021085714285714,0.0072,4.29,18.5,4.89
45,0.0131785714285714,0.0021085714285714,0.1090285714285714,3.09,10.3,3.14
46,0.0131785714285714,0.0021085714285714,0.2108571428571428,3.15,11.6,3.38
47,0.0131785714285714,0.0021085714285714,0.3126857142857142,2.8,8.73,2.38
48,0.0131785714285714,0.0021085714285714,0.4145142857142856,2.83,10.6,2.83
49,0.0131785714285714,0.0021085714285714,0.5163428571428571,2.69,9.66,2.83
0,0.0131785714285714,0.0021085714285714,0.6181714285714285,2.63,10.2,2.44
1,0.0131785714285714,0.0021085714285714,0.72,2.57,9.57,2.71
2,0.0131785714285714,0.0031268571428571,0.0072,3.82,17.3,3.76
3,0.0131785714285714,0.0031268571428571,0.1090285714285714,2.78,11.1,2.81
4,0.0131785714285714,0.0031268571428571,0.2108571428571428,2.66,8.82,2.08
5,0.0131785714285714,0.0031268571428571,0.3126857142857142,2.59,8.36,2.16
6,0.0131785714285714,0.0031268571428571,0.4145142857142856,2.81,12.0,2.42
7,0.0131785714285714,0.0031268571428571,0.5163428571428571,2.61,10.2,1.98
8,0.0131785714285714,0.0031268571428571,0.6181714285714285,2.5,10.3,2.58
9,0.0131785714285714,0.0031268571428571,0.72,2.52,10.3,2.77
10,0.0131785714285714,0.0041451428571428,0.0072,3.54,16.1,3.25
11,0.0131785714285714,0.0041451428571428,0.1090285714285714,2.77,12.5,2.52
12,0.0131785714285714,0.0041451428571428,0.2108571428571428,2.72,10.8,2.14
13,0.0131785714285714,0.0041451428571428,0.3126857142857142,2.52,9.18,2.06
14,0.0131785714285714,0.0041451428571428,0.4145142857142856,2.32,8.12,1.96
15,0.0131785714285714,0.0041451428571428,0.5163428571428571,2.33,9.86,2.58
16,0.0131785714285714,0.0041451428571428,0.6181714285714285,2.45,9.28,2.04
17,0.0131785714285714,0.0041451428571428,0.72,2.31,9.52,1.97
18,0.0131785714285714,0.0051634285714285,0.0072,3.35,15.3,3.19
19,0.0131785714285714,0.0051634285714285,0.1090285714285714,2.6,8.74,2.12
20,0.0131785714285714,0.0051634285714285,0.2108571428571428,2.5,8.69,1.96
21,0.0131785714285714,0.0051634285714285,0.3126857142857142,2.44,9.77,1.92
22,0.0131785714285714,0.0051634285714285,0.4145142857142856,2.17,7.76,1.93
23,0.0131785714285714,0.0051634285714285,0.5163428571428571,2.56,11.0,2.1
24,0.0131785714285714,0.0051634285714285,0.6181714285714285,2.23,8.49,1.85
25,0.0131785714285714,0.0051634285714285,0.72,2.19,8.67,2.15
26,0.0131785714285714,0.0061817142857142,0.0072,3.13,13.9,2.79
27,0.0131785714285714,0.0061817142857142,0.1090285714285714,2.46,8.57,1.99
28,0.0131785714285714,0.0061817142857142,0.2108571428571428,2.38,9.26,1.85
29,0.0131785714285714,0.0061817142857142,0.3126857142857142,2.25,8.23,2.07
