,netParams.connParams.PYR->BC_AMPA.weight,netParams.connParams.PYR->OLM_AMPA.weight,netParams.connParams.PYR->PYR_AMPA.weight,PYR,BC,OLM
0,0.0036,3.6e-05,5.8571428571428575e-05,3.53,21,2.33
1,0.0036,3.6e-05,8.685714285714286e-05,3.43,19.9,2.31
2,0.0036,3.6e-05,0.0001151428571428,3.49,19.2,2.31
3,0.0036,3.6e-05,0.0001434285714285,3.51,19.2,2.21
4,0.0036,3.6e-05,0.0001717142857142,3.54,20.1,2.34
5,0.0036,3.6e-05,0.0002,3.44,18.9,2.58
6,0.0036,0.0005451428571428,2.0000000000000003e-06,2.67,16.6,2.93
7,0.0036,0.0005451428571428,3.0285714285714288e-05,2.74,17,2.79
8,0.0036,0.0005451428571428,5.8571428571428575e-05,2.8,17.4,2.58
9,0.0036,0.0005451428571428,8.685714285714286e-05,2.91,17.2,3.05
10,0.0036,0.0005451428571428,0.0001151428571428,2.82,16.8,2.44
11,0.0036,0.0005451428571428,0.0001434285714285,2.88,18.1,2.56
12,0.0036,0.0005451428571428,0.0001717142857142,2.84,17.9,2.71
13,0.0036,0.0005451428571428,0.0002,2.96,17.4,3.31
14,0.0036,0.0010542857142857,2.0000000000000003e-06,2.36,15.4,3.18
15,0.0036,0.0010542857142857,3.0285714285714288e-05,2.5,15.1,3.6
16,0.0036,0.0010542857142857,5.8571428571428575e-05,2.33,15.1,3.23
17,0.0036,0.0010542857142857,8.685714285714286e-05,2.46,15.3,3.45
18,0.0036,0.0010542857142857,0.0001151428571428,2.4,14.9,2.73
19,0.0036,0.0010542857142857,0.0001434285714285,2.45,15.8,2.94
20,0.0036,0.0010542857142857,0.0001717142857142,2.47,14.8,3.69
21,0.0036,0.0010542857142857,0.0002,2.63,15.7,3.67
22,0.0036,0.0015634285714285,2.0000000000000003e-06,2.06,13.4,3.86
23,0.0036,0.0015634285714285,3.0285714285714288e-05,2.11,13.5,4.02
24,0.0036,0.0015634285714285,5.8571428571428575e-05,2.08,13.8,3.77
25,0.0036,0.0015634285714285,8.685714285714286e-05,2.21,14.4,4.56
26,0.0036,0.0015634285714285,0.0001151428571428,2.19,14,4.07
27,0.0036,0.0015634285714285,0.0001434285714285,2.29,14,4.6
28,0.0036,0.0015634285714285,0.0001717142857142,2.31,14.2,4.5
29,0.0036,0.0015634285714285,0.0002,2.17,13.7,3.88
30,0.0036,0.0020725714285714,2.0000000000000003e-06,1.95,12.6,4.72
31,0.0036,0.0020725714285714,3.0285714285714288e-05,1.9,12,4.46
32,0.0036,0.0020725714285714,5.8571428571428575e-05,1.86,12,4.34
33,0.0036,0.0020725714285714,8.685714285714286e-05,1.95,12.6,4.54
34,0.0036,0.0020725714285714,0.0001151428571428,2.2,13.9,5.65
35,0.0036,0.0020725714285714,0.0001434285714285,2.24,14.2,5.66
36,0.0036,0.0020725714285714,0.0001717142857142,2.08,13.1,4.83
37,0.0036,0.0020725714285714,0.0002,2.04,12.9,4.87
38,0.0036,0.0025817142857142,2.0000000000000003e-06,1.86,12,4.98
39,0.0036,0.0025817142857142,3.0285714285714288e-05,1.79,11.6,4.95
40,0.0036,0.0025817142857142,5.8571428571428575e-05,1.76,12.1,4.59
41,0.0036,0.0025817142857142,8.685714285714286e-05,1.88,11.8,5.06
42,0.0036,0.0025817142857142,0.0001151428571428,2.02,12.5,5.27
43,0.0036,0.0025817142857142,0.0001434285714285,1.87,12.3,4.82
44,0.0036,0.0025817142857142,0.0001717142857142,1.99,12.1,5.4
45,0.0036,0.0025817142857142,0.0002,1.97,12.4,5.02
46,0.0036,0.0030908571428571,2.0000000000000003e-06,1.69,10.6,5.29
47,0.0036,0.0030908571428571,3.0285714285714288e-05,1.67,10.2,5.16
48,0.0036,0.0030908571428571,5.8571428571428575e-05,1.63,10.9,4.58
49,0.0036,0.0030908571428571,8.685714285714286e-05,1.81,11.5,5.26
