netParams.connParams.PYR->BC_AMPA.weight,netParams.connParams.PYR->OLM_AMPA.weight,netParams.connParams.PYR->PYR_AMPA.weight,run
3.6e-05,3.6e-05,2.0000000000000003e-06,0.0
3.6e-05,3.6e-05,3.0285714285714288e-05,1.0
3.6e-05,3.6e-05,5.8571428571428575e-05,2.0
3.6e-05,3.6e-05,8.685714285714286e-05,3.0
3.6e-05,3.6e-05,0.00011514285714285714,4.0
3.6e-05,3.6e-05,0.00014342857142857142,5.0
3.6e-05,3.6e-05,0.00017171428571428573,6.0
3.6e-05,3.6e-05,0.0002,7.0
3.6e-05,0.0005451428571428572,2.0000000000000003e-06,8.0
3.6e-05,0.0005451428571428572,3.0285714285714288e-05,9.0
3.6e-05,0.0005451428571428572,5.8571428571428575e-05,10.0
3.6e-05,0.0005451428571428572,8.685714285714286e-05,11.0
3.6e-05,0.0005451428571428572,0.00011514285714285714,12.0
3.6e-05,0.0005451428571428572,0.00014342857142857142,13.0
3.6e-05,0.0005451428571428572,0.00017171428571428573,14.0
3.6e-05,0.0005451428571428572,0.0002,15.0
3.6e-05,0.0010542857142857144,2.0000000000000003e-06,16.0
3.6e-05,0.0010542857142857144,3.0285714285714288e-05,17.0
3.6e-05,0.0010542857142857144,5.8571428571428575e-05,18.0
3.6e-05,0.0010542857142857144,8.685714285714286e-05,19.0
3.6e-05,0.0010542857142857144,0.00011514285714285714,20.0
3.6e-05,0.0010542857142857144,0.00014342857142857142,21.0
3.6e-05,0.0010542857142857144,0.00017171428571428573,22.0
3.6e-05,0.0010542857142857144,0.0002,23.0
3.6e-05,0.0015634285714285715,2.0000000000000003e-06,24.0
3.6e-05,0.0015634285714285715,3.0285714285714288e-05,25.0
3.6e-05,0.0015634285714285715,5.8571428571428575e-05,26.0
3.6e-05,0.0015634285714285715,8.685714285714286e-05,27.0
3.6e-05,0.0015634285714285715,0.00011514285714285714,28.0
3.6e-05,0.0015634285714285715,0.00014342857142857142,29.0
3.6e-05,0.0015634285714285715,0.00017171428571428573,30.0
3.6e-05,0.0015634285714285715,0.0002,31.0
3.6e-05,0.002072571428571429,2.0000000000000003e-06,32.0
3.6e-05,0.002072571428571429,3.0285714285714288e-05,33.0
3.6e-05,0.002072571428571429,5.8571428571428575e-05,34.0
3.6e-05,0.002072571428571429,8.685714285714286e-05,35.0
3.6e-05,0.002072571428571429,0.00011514285714285714,36.0
3.6e-05,0.002072571428571429,0.00014342857142857142,37.0
3.6e-05,0.002072571428571429,0.00017171428571428573,38.0
3.6e-05,0.002072571428571429,0.0002,39.0
3.6e-05,0.002581714285714286,2.0000000000000003e-06,40.0
3.6e-05,0.002581714285714286,3.0285714285714288e-05,41.0
3.6e-05,0.002581714285714286,5.8571428571428575e-05,42.0
3.6e-05,0.002581714285714286,8.685714285714286e-05,43.0
3.6e-05,0.002581714285714286,0.00011514285714285714,44.0
3.6e-05,0.002581714285714286,0.00014342857142857142,45.0
3.6e-05,0.002581714285714286,0.00017171428571428573,46.0
3.6e-05,0.002581714285714286,0.0002,47.0
3.6e-05,0.003090857142857143,2.0000000000000003e-06,48.0
3.6e-05,0.003090857142857143,3.0285714285714288e-05,49.0
