,netParams.connParams.PYR->BC_AMPA.weight,netParams.connParams.PYR->OLM_AMPA.weight,netParams.connParams.PYR->PYR_AMPA.weight,PYR,BC,OLM
0,0.0030908571428571,0.0010542857142857,2.0000000000000003e-06,2.31,14.9,3.06
1,0.0030908571428571,0.0010542857142857,3.0285714285714288e-05,2.42,15.7,3.58
2,0.0030908571428571,0.0010542857142857,5.8571428571428575e-05,2.37,14.2,3.21
3,0.0030908571428571,0.0010542857142857,8.685714285714286e-05,2.42,15,3.27
4,0.0030908571428571,0.0010542857142857,0.0001151428571428,2.71,16.7,4.14
5,0.0030908571428571,0.0010542857142857,0.0001434285714285,2.57,14.7,3.65
6,0.0030908571428571,0.0010542857142857,0.0001717142857142,2.39,14.1,3.06
7,0.0030908571428571,0.0010542857142857,0.0002,2.6,15.8,3.31
8,0.0030908571428571,0.0015634285714285,2.0000000000000003e-06,2.05,13.7,4.03
9,0.0030908571428571,0.0015634285714285,3.0285714285714288e-05,2.55,15.7,5.84
10,0.0030908571428571,0.0015634285714285,5.8571428571428575e-05,2.1,12.5,3.84
11,0.0030908571428571,0.0015634285714285,8.685714285714286e-05,2.08,14.1,3.75
12,0.0030908571428571,0.0015634285714285,0.0001151428571428,2.23,14.4,4.42
13,0.0030908571428571,0.0015634285714285,0.0001434285714285,2.17,13,3.79
14,0.0030908571428571,0.0015634285714285,0.0001717142857142,2.33,14.1,4.63
15,0.0030908571428571,0.0015634285714285,0.0002,2.28,14,4.33
16,0.0030908571428571,0.0020725714285714,2.0000000000000003e-06,1.83,12.1,4.08
17,0.0030908571428571,0.0020725714285714,3.0285714285714288e-05,2.1,13.5,5.32
18,0.0030908571428571,0.0020725714285714,5.8571428571428575e-05,1.99,11.5,4.37
19,0.0030908571428571,0.0020725714285714,8.685714285714286e-05,1.92,12,4.42
20,0.0030908571428571,0.0020725714285714,0.0001151428571428,2.08,13.3,4.97
21,0.0030908571428571,0.0020725714285714,0.0001434285714285,1.92,11.2,4.21
22,0.0030908571428571,0.0020725714285714,0.0001717142857142,2.07,11.5,5
23,0.0030908571428571,0.0020725714285714,0.0002,2.6,15.5,6.84
24,0.0030908571428571,0.0025817142857142,2.0000000000000003e-06,1.78,12,4.87
25,0.0030908571428571,0.0025817142857142,3.0285714285714288e-05,1.99,13.2,5.35
26,0.0030908571428571,0.0025817142857142,5.8571428571428575e-05,1.77,9.68,4.54
27,0.0030908571428571,0.0025817142857142,8.685714285714286e-05,1.83,12,4.71
28,0.0030908571428571,0.0025817142857142,0.0001151428571428,1.9,12.5,4.98
29,0.0030908571428571,0.0025817142857142,0.0001434285714285,1.93,11.1,4.97
30,0.0030908571428571,0.0025817142857142,0.0001717142857142,1.97,11.9,5.29
31,0.0030908571428571,0.0025817142857142,0.0002,2.15,13.1,5.64
32,0.0030908571428571,0.0030908571428571,2.0000000000000003e-06,1.59,10.9,4.8
33,0.0030908571428571,0.0030908571428571,3.0285714285714288e-05,1.72,10.9,5.14
34,0.0030908571428571,0.0030908571428571,5.8571428571428575e-05,1.8,10.9,5.42
35,0.0030908571428571,0.0030908571428571,8.685714285714286e-05,1.71,11.6,5.18
36,0.0030908571428571,0.0030908571428571,0.0001151428571428,1.92,12.6,5.43
37,0.0030908571428571,0.0030908571428571,0.0001434285714285,1.82,11.2,5.42
38,0.0030908571428571,0.0030908571428571,0.0001717142857142,1.85,11,5.32
39,0.0030908571428571,0.0030908571428571,0.0002,2.23,13.5,6.41
40,0.0030908571428571,0.0036,2.0000000000000003e-06,1.46,9.71,5.06
41,0.0030908571428571,0.0036,3.0285714285714288e-05,1.83,12.5,6.3
42,0.0030908571428571,0.0036,5.8571428571428575e-05,1.45,7.79,4.96
43,0.0030908571428571,0.0036,8.685714285714286e-05,1.49,9.74,4.99
44,0.0030908571428571,0.0036,0.0001151428571428,1.71,10.9,5.9
45,0.0030908571428571,0.0036,0.0001434285714285,1.52,8.84,5.15
46,0.0030908571428571,0.0036,0.0001717142857142,1.55,8.56,5.32
47,0.0030908571428571,0.0036,0.0002,1.95,11.1,6.59
48,0.0036,3.6e-05,2.0000000000000003e-06,3.34,20,2.35
49,0.0036,3.6e-05,3.0285714285714288e-05,3.37,20.8,2.2
