,netParams.connParams.PYR->BC_AMPA.weight,netParams.connParams.PYR->OLM_AMPA.weight,netParams.connParams.PYR->PYR_AMPA.weight,PYR,BC,OLM
0,0.0020725714285714,0.0025817142857142,0.0001151428571428,1.99,12.2,5.12
1,0.0020725714285714,0.0025817142857142,0.0001434285714285,1.89,11.2,4.5
2,0.0020725714285714,0.0025817142857142,0.0001717142857142,2.39,15,5.9
3,0.0020725714285714,0.0025817142857142,0.0002,2.36,13.6,6.13
4,0.0020725714285714,0.0030908571428571,2.0000000000000003e-06,1.67,10.7,5.26
5,0.0020725714285714,0.0030908571428571,3.0285714285714288e-05,1.73,10.7,5.2
6,0.0020725714285714,0.0030908571428571,5.8571428571428575e-05,1.97,12.2,5.79
7,0.0020725714285714,0.0030908571428571,8.685714285714286e-05,1.74,10.7,4.7
8,0.0020725714285714,0.0030908571428571,0.0001151428571428,1.73,10.6,4.84
9,0.0020725714285714,0.0030908571428571,0.0001434285714285,1.94,12.4,5.66
10,0.0020725714285714,0.0030908571428571,0.0001717142857142,2.52,15.5,7.25
11,0.0020725714285714,0.0030908571428571,0.0002,2.04,12.6,5.98
12,0.0020725714285714,0.0036,2.0000000000000003e-06,1.44,8.66,4.95
13,0.0020725714285714,0.0036,3.0285714285714288e-05,1.65,9.98,5.89
14,0.0020725714285714,0.0036,5.8571428571428575e-05,1.95,12.5,6.57
15,0.0020725714285714,0.0036,8.685714285714286e-05,1.8,11.6,6.26
16,0.0020725714285714,0.0036,0.0001151428571428,1.59,10.3,5.43
17,0.0020725714285714,0.0036,0.0001434285714285,1.87,12,6.45
18,0.0020725714285714,0.0036,0.0001717142857142,2.77,17.3,9.24
19,0.0020725714285714,0.0036,0.0002,2.52,14.8,8.27
20,0.0025817142857142,3.6e-05,2.0000000000000003e-06,3.43,19.4,2.38
21,0.0025817142857142,3.6e-05,3.0285714285714288e-05,3.53,21.5,2.25
22,0.0025817142857142,3.6e-05,5.8571428571428575e-05,3.57,20.5,2.37
23,0.0025817142857142,3.6e-05,8.685714285714286e-05,3.61,20.3,2.33
24,0.0025817142857142,3.6e-05,0.0001151428571428,3.56,19.4,2.25
25,0.0025817142857142,3.6e-05,0.0001434285714285,3.6,19.6,2.58
26,0.0025817142857142,3.6e-05,0.0001717142857142,3.68,20.6,2.62
27,0.0025817142857142,3.6e-05,0.0002,3.87,20.6,2.69
28,0.0025817142857142,0.0005451428571428,2.0000000000000003e-06,2.79,16.7,2.71
29,0.0025817142857142,0.0005451428571428,3.0285714285714288e-05,2.78,15.7,2.66
30,0.0025817142857142,0.0005451428571428,5.8571428571428575e-05,2.82,17.1,2.63
31,0.0025817142857142,0.0005451428571428,8.685714285714286e-05,2.95,17.4,2.77
32,0.0025817142857142,0.0005451428571428,0.0001151428571428,2.86,15.2,2.62
33,0.0025817142857142,0.0005451428571428,0.0001434285714285,2.92,17.1,2.79
34,0.0025817142857142,0.0005451428571428,0.0001717142857142,3.02,18.7,3.08
35,0.0025817142857142,0.0005451428571428,0.0002,2.95,17.2,2.57
36,0.0025817142857142,0.0010542857142857,2.0000000000000003e-06,2.4,15,3.38
37,0.0025817142857142,0.0010542857142857,3.0285714285714288e-05,2.38,14.4,3.12
38,0.0025817142857142,0.0010542857142857,5.8571428571428575e-05,2.51,15.6,3.62
39,0.0025817142857142,0.0010542857142857,8.685714285714286e-05,2.53,15.8,3.56
40,0.0025817142857142,0.0010542857142857,0.0001151428571428,2.47,13.3,3.09
41,0.0025817142857142,0.0010542857142857,0.0001434285714285,2.63,15.8,3.71
42,0.0025817142857142,0.0010542857142857,0.0001717142857142,2.62,15.9,3.58
43,0.0025817142857142,0.0010542857142857,0.0002,2.65,15.7,3.64
44,0.0025817142857142,0.0015634285714285,2.0000000000000003e-06,2.01,11.9,3.69
45,0.0025817142857142,0.0015634285714285,3.0285714285714288e-05,2.05,12.4,3.73
46,0.0025817142857142,0.0015634285714285,5.8571428571428575e-05,2.2,14.5,4.03
47,0.0025817142857142,0.0015634285714285,8.685714285714286e-05,2.22,13.4,4.3
48,0.0025817142857142,0.0015634285714285,0.0001151428571428,2.26,12.2,4.05
49,0.0025817142857142,0.0015634285714285,0.0001434285714285,2.18,13.1,3.81
