netParams.connParams.PYR->BC_AMPA.weight,netParams.connParams.PYR->OLM_AMPA.weight,netParams.connParams.PYR->PYR_AMPA.weight,run
0.002581714285714286,0.0015634285714285715,0.00017171428571428573,350.0
0.002581714285714286,0.0015634285714285715,0.0002,351.0
0.002581714285714286,0.002072571428571429,2.0000000000000003e-06,352.0
0.002581714285714286,0.002072571428571429,3.0285714285714288e-05,353.0
0.002581714285714286,0.002072571428571429,5.8571428571428575e-05,354.0
0.002581714285714286,0.002072571428571429,8.685714285714286e-05,355.0
0.002581714285714286,0.002072571428571429,0.00011514285714285714,356.0
0.002581714285714286,0.002072571428571429,0.00014342857142857142,357.0
0.002581714285714286,0.002072571428571429,0.00017171428571428573,358.0
0.002581714285714286,0.002072571428571429,0.0002,359.0
0.002581714285714286,0.002581714285714286,2.0000000000000003e-06,360.0
0.002581714285714286,0.002581714285714286,3.0285714285714288e-05,361.0
0.002581714285714286,0.002581714285714286,5.8571428571428575e-05,362.0
0.002581714285714286,0.002581714285714286,8.685714285714286e-05,363.0
0.002581714285714286,0.002581714285714286,0.00011514285714285714,364.0
0.002581714285714286,0.002581714285714286,0.00014342857142857142,365.0
0.002581714285714286,0.002581714285714286,0.00017171428571428573,366.0
0.002581714285714286,0.002581714285714286,0.0002,367.0
0.002581714285714286,0.003090857142857143,2.0000000000000003e-06,368.0
0.002581714285714286,0.003090857142857143,3.0285714285714288e-05,369.0
0.002581714285714286,0.003090857142857143,5.8571428571428575e-05,370.0
0.002581714285714286,0.003090857142857143,8.685714285714286e-05,371.0
0.002581714285714286,0.003090857142857143,0.00011514285714285714,372.0
0.002581714285714286,0.003090857142857143,0.00014342857142857142,373.0
0.002581714285714286,0.003090857142857143,0.00017171428571428573,374.0
0.002581714285714286,0.003090857142857143,0.0002,375.0
0.002581714285714286,0.0036000000000000003,2.0000000000000003e-06,376.0
0.002581714285714286,0.0036000000000000003,3.0285714285714288e-05,377.0
0.002581714285714286,0.0036000000000000003,5.8571428571428575e-05,378.0
0.002581714285714286,0.0036000000000000003,8.685714285714286e-05,379.0
0.002581714285714286,0.0036000000000000003,0.00011514285714285714,380.0
0.002581714285714286,0.0036000000000000003,0.00014342857142857142,381.0
0.002581714285714286,0.0036000000000000003,0.00017171428571428573,382.0
0.002581714285714286,0.0036000000000000003,0.0002,383.0
0.003090857142857143,3.6e-05,2.0000000000000003e-06,384.0
0.003090857142857143,3.6e-05,3.0285714285714288e-05,385.0
0.003090857142857143,3.6e-05,5.8571428571428575e-05,386.0
0.003090857142857143,3.6e-05,8.685714285714286e-05,387.0
0.003090857142857143,3.6e-05,0.00011514285714285714,388.0
0.003090857142857143,3.6e-05,0.00014342857142857142,389.0
0.003090857142857143,3.6e-05,0.00017171428571428573,390.0
0.003090857142857143,3.6e-05,0.0002,391.0
0.003090857142857143,0.0005451428571428572,2.0000000000000003e-06,392.0
0.003090857142857143,0.0005451428571428572,3.0285714285714288e-05,393.0
0.003090857142857143,0.0005451428571428572,5.8571428571428575e-05,394.0
0.003090857142857143,0.0005451428571428572,8.685714285714286e-05,395.0
0.003090857142857143,0.0005451428571428572,0.00011514285714285714,396.0
0.003090857142857143,0.0005451428571428572,0.00014342857142857142,397.0
0.003090857142857143,0.0005451428571428572,0.00017171428571428573,398.0
0.003090857142857143,0.0005451428571428572,0.0002,399.0
